url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-air-force-1-low-white-07,Nike Air Force 1 Low White '07,2339,AF1L-WHT07,/images/sneakers/nike/air-force/AF1L-WHT07.jpg,11/24/2007,$90,315122-111/CW2288-111,WHITE/WHITE,67221,16.7%,$105
https://stockx.com/nike-air-force-1-low-lx-uv-w,Nike Air Force 1 Low LX UV Reactive (W),669,NK-NIAF1LLW,/images/sneakers/nike/air-force/NK-NIAF1LLW.jpg,07/01/2021,$110,DA8301-100,WHITE/BLACK-WHITE-UNIVERSITY BLUE,5887,52.9%,$173
https://stockx.com/nike-air-force-1-07-black-black,Nike Air Force 1 '07 Black/Black,356,NIKE-315122-001,/images/sneakers/nike/air-force/NIKE-315122-001.jpg,09/22/2017,$90,315122-001/CW2288-001,BLACK/BLACK,9277,26.7%,$99
https://stockx.com/nike-air-force-1-low-hare,Nike Air Force 1 Low Hare Space Jam,270,NK-NIAF1LHWL,/images/sneakers/nike/air-force/NK-NIAF1LHWL.jpg,07/16/2021,$120,DJ7998-100,WHITE/LIGHT BLUE FURY-WHITE,7545,42.5%,$180
https://stockx.com/nike-air-force-1-low-supreme-box-logo-white,Nike Air Force 1 Low Supreme White,212,AF1L-SUPBLW,/images/sneakers/nike/air-force/AF1L-SUPBLW.jpg,03/05/2020,$96,CU9225-100,WHITE/WHITE-WHITE,32596,95.8%,$204
https://stockx.com/nike-air-force-1-low-undefeated-5-on-it-dunk-vs-af1,Nike Air Force 1 Low SP Undefeated 5 On It Dunk vs. AF1,193,NK-NIAF1LUWN,/images/sneakers/nike/air-force/NK-NIAF1LUWN.jpg,08/06/2021,$120,DM8461-001,GREY FOG/ IMPERIAL BLUE,701,78.3%,$240
https://stockx.com/nike-air-force-1-low-uv-reactive-swoosh-w,Nike Air Force 1 Low UV Reactive Swoosh (W),150,NK-NIAF1LUWWS,/images/sneakers/nike/air-force/NK-NIAF1LUWWS.jpg,N/A,N/A,DA8301-101,WHITE/WHITE-WHITE-UNIVERSITY BLUE,3609,N/A,$180
https://stockx.com/nike-air-force-1-low-ken-griffey-jr-and-sr,Nike Air Force 1 Low Ken Griffey Jr. and Sr. Swingman,132,NK-NIAF1LKWRSR,/images/sneakers/nike/air-force/NK-NIAF1LKWRSR.jpg,06/25/2021,$110,DJ5192-100,WHITE/LYON BLUE-UNIVERSITY GOLD-BLACK,4658,17.3%,$156
https://stockx.com/nike-air-force-1-07-white-black-pebbled-leather,Nike Air Force 1 '07 White Black Pebbled Leather,111,NK-NIAF1'WWBK,/images/sneakers/nike/air-force/NK-NIAF1'WWBK.jpg,01/14/2021,$90,CT2302-100,WHITE/BLACK,1977,26.7%,$108
https://stockx.com/nike-air-force-1-low-supreme-box-logo-black,Nike Air Force 1 Low Supreme Black,108,AF1L-SUPBLB,/images/sneakers/nike/air-force/AF1L-SUPBLB.jpg,03/05/2020,$96,CU9225-001,BLACK/BLACK-BLACK,14731,107.3%,$180
