url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-air-vapormax-plus-triple-black,Nike Air VaporMax Plus Triple Black,212,NK-AVPTBK,/images/sneakers/nike/air-max/NK-AVPTBK.jpg,01/25/2018,$190,924453-004,BLACK/BLACK-DARK GREY,13987,27.9%,$189
https://stockx.com/nike-air-max-97-white-wolf-grey,Nike Air Max 97 Triple White Wolf Grey,160,AM97-WHTWLFGRY,/images/sneakers/nike/air-max/AM97-WHTWLFGRY.jpg,08/01/2017,$160,921826-101,WHITE/WOLF GREY-BLACK,6861,5.4%,$154
https://stockx.com/nike-air-max-furyosa-night-green-w,Nike Air Max Furyosa Night Green (W),151,NK-NIAMFNGNS,/images/sneakers/nike/air-max/NK-NIAMFNGNS.jpg,08/11/2021,$160,DC7351-300,NIGHT GREEN/SAIL-RASPBERRY RED-BLACK,167,-12.5%,$187
https://stockx.com/nike-air-vapormax-plus-white,Nike Air VaporMax Plus White,149,VPRMXPLS-WHT,/images/sneakers/nike/air-max/VPRMXPLS-WHT.jpg,02/28/2018,$190,924453-100,WHITE/WHITE-PURE PLATINUM,5910,-10.5%,$183
https://stockx.com/nike-air-max-90-first-use-cream,Nike Air Max 90 First Use Cream,145,NK-NIAM9FUSC,/images/sneakers/nike/air-max/NK-NIAM9FUSC.jpg,N/A,$180,DB0636-100,SAIL/CREAM II-LIGHT BONE,882,-18.9%,$162
https://stockx.com/nike-air-vapormax-2020-flyknit-oreo,Nike Air VaporMax 2020 Flyknit Oreo,105,VM20FK-OREO,/images/sneakers/nike/air-max/VM20FK-OREO.jpg,11/05/2020,$220,CT1823-001,BLACK/WHITE-BLACK,2637,-44.1%,$144
https://stockx.com/nike-air-max-plus-triple-black,Nike Air Max Plus Triple Black,88,AMPLS-TRPLBLK,/images/sneakers/nike/air-max/AMPLS-TRPLBLK.jpg,12/20/2017,$150,604133-050,BLACK/BLACK-BLACK,4752,13.3%,$152
https://stockx.com/nike-air-max-97-black-white-anthricite,Nike Air Max 97 Black White Anthricite,87,MXNS-BKWHNTHR,/images/sneakers/nike/air-max/MXNS-BKWHNTHR.jpg,06/10/2019,$160,921826-015,BLACK/WHITE-ANTHRACITE,6759,-11.9%,$157
https://stockx.com/nike-air-max-90-nrg-bacon-2021,Nike Air Max 90 NRG Bacon (2021),86,NK-NIAM9NBS,/images/sneakers/nike/air-max/NK-NIAM9NBS.jpg,03/26/2021,$140,CU1816-100,SAIL-SHEEN-STRAW-MEDIUM BROWN,13070,14.3%,$207
https://stockx.com/nike-air-vapormax-2020-flyknit-summit-white,Nike Air VaporMax 2020 Flyknit Summit White,71,VM20FK-SW,/images/sneakers/nike/air-max/VM20FK-SW.jpg,08/06/2020,$220,CJ6740-100,WHITE/SUMMIT WHITE-MULTI-COLOR,3096,-46.8%,$155
