url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-air-force-1-low-white-07,Nike Air Force 1 Low White '07,1888,AF1L-WHT07,/images/sneakers/nike/airforce/AF1L-WHT07.jpg,11/24/2007,$90,315122-111/CW2288-111,WHITE/WHITE,73131,15.6%,$105
https://stockx.com/nike-air-force-1-low-undefeated-5-on-it-dunk-vs-af1,Nike Air Force 1 Low SP Undefeated 5 On It Dunk vs. AF1,728,NK-NIAF1LUWN,/images/sneakers/nike/airforce/NK-NIAF1LUWN.jpg,08/06/2021,$120,DM8461-001,GREY FOG/ IMPERIAL BLUE,2038,50.0%,$211
https://stockx.com/nike-air-force-1-low-lx-uv-w,Nike Air Force 1 Low LX UV Reactive (W),421,NK-NIAF1LLW,/images/sneakers/nike/airforce/NK-NIAF1LLW.jpg,07/01/2021,$110,DA8301-100,WHITE/BLACK-WHITE-UNIVERSITY BLUE,7322,27.3%,$171
https://stockx.com/nike-air-force-1-07-black-black,Nike Air Force 1 '07 Black/Black,401,NIKE-315122-001,/images/sneakers/nike/airforce/NIKE-315122-001.jpg,09/22/2017,$90,315122-001/CW2288-001,BLACK/BLACK,10334,5.6%,$101
https://stockx.com/nike-air-force-1-low-supreme-box-logo-white,Nike Air Force 1 Low Supreme White,269,AF1L-SUPBLW,/images/sneakers/nike/airforce/AF1L-SUPBLW.jpg,03/05/2020,$96,CU9225-100,WHITE/WHITE-WHITE,33222,84.4%,$203
https://stockx.com/nike-air-force-1-low-hare,Nike Air Force 1 Low Hare Space Jam,254,NK-NIAF1LHWL,/images/sneakers/nike/airforce/NK-NIAF1LHWL.jpg,07/16/2021,$120,DJ7998-100,WHITE/LIGHT BLUE FURY-WHITE,8325,61.7%,$178
https://stockx.com/nike-air-force-1-07-white-black-pebbled-leather,Nike Air Force 1 '07 White Black Pebbled Leather,122,NK-NIAF1'WWBK,/images/sneakers/nike/airforce/NK-NIAF1'WWBK.jpg,01/14/2021,$90,CT2302-100,WHITE/BLACK,2315,32.2%,$108
https://stockx.com/nike-air-force-1-low-uv-reactive-swoosh-w,Nike Air Force 1 Low UV Reactive Swoosh (W),108,NK-NIAF1LUWWS,/images/sneakers/nike/airforce/NK-NIAF1LUWWS.jpg,N/A,N/A,DA8301-101,WHITE/WHITE-WHITE-UNIVERSITY BLUE,3897,N/A,$179
https://stockx.com/nike-air-force-1-low-supreme-box-logo-black,Nike Air Force 1 Low Supreme Black,103,AF1L-SUPBLB,/images/sneakers/nike/airforce/AF1L-SUPBLB.jpg,03/05/2020,$96,CU9225-001,BLACK/BLACK-BLACK,14981,87.5%,$180
https://stockx.com/nike-air-force-1-low-white-2018-w,Nike Air Force 1 Low White 2018 (W),96,AF1L-WHT18W,/images/sneakers/nike/airforce/AF1L-WHT18W.jpg,01/01/2018,$90,315115-112/DD8959-100,WHITE/WHITE,8349,-2.2%,$89
