url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-air-max-97-white-wolf-grey,Nike Air Max 97 Triple White Wolf Grey,162,AM97-WHTWLFGRY,/images/sneakers/nike/airmax/AM97-WHTWLFGRY.jpg,08/01/2017,$160,921826-101,WHITE/WOLF GREY-BLACK,7069,-2.5%,$155
https://stockx.com/nike-air-vapormax-plus-triple-black,Nike Air VaporMax Plus Triple Black,140,NK-AVPTBK,/images/sneakers/nike/airmax/NK-AVPTBK.jpg,01/25/2018,$190,924453-004,BLACK/BLACK-DARK GREY,14231,22.6%,$190
https://stockx.com/nike-air-max-90-first-use-cream,Nike Air Max 90 First Use Cream,99,NK-NIAM9FUSC,/images/sneakers/nike/airmax/NK-NIAM9FUSC.jpg,N/A,$180,DB0636-100,SAIL/CREAM II-LIGHT BONE,1221,8.3%,$164
https://stockx.com/nike-air-vapormax-plus-white,Nike Air VaporMax Plus White,96,VPRMXPLS-WHT,/images/sneakers/nike/airmax/VPRMXPLS-WHT.jpg,02/28/2018,$190,924453-100,WHITE/WHITE-PURE PLATINUM,6113,1.6%,$183
https://stockx.com/nike-air-vapormax-2020-flyknit-summit-white,Nike Air VaporMax 2020 Flyknit Summit White,90,VM20FK-SW,/images/sneakers/nike/airmax/VM20FK-SW.jpg,08/06/2020,$220,CJ6740-100,WHITE/SUMMIT WHITE-MULTI-COLOR,3323,-30.9%,$152
https://stockx.com/nike-air-vapormax-2020-flyknit-black-dark-grey,Nike Air VaporMax 2020 Flyknit Black Dark Grey,89,VM20FK-DG,/images/sneakers/nike/airmax/VM20FK-DG.jpg,09/10/2020,$220,CJ6740-002,BLACK/DARK GREY-BLACK,3705,-15.0%,$154
https://stockx.com/nike-air-max-90-nrg-bacon-2021,Nike Air Max 90 NRG Bacon (2021),85,NK-NIAM9NBS,/images/sneakers/nike/airmax/NK-NIAM9NBS.jpg,03/26/2021,$140,CU1816-100,SAIL-SHEEN-STRAW-MEDIUM BROWN,13294,7.1%,$206
https://stockx.com/nike-air-max-plus-triple-black,Nike Air Max Plus Triple Black,85,AMPLS-TRPLBLK,/images/sneakers/nike/airmax/AMPLS-TRPLBLK.jpg,12/20/2017,$150,604133-050,BLACK/BLACK-BLACK,4911,8.7%,$153
https://stockx.com/nike-air-max-97-black-white-anthricite,Nike Air Max 97 Black White Anthricite,67,MXNS-BKWHNTHR,/images/sneakers/nike/airmax/MXNS-BKWHNTHR.jpg,06/10/2019,$160,921826-015,BLACK/WHITE-ANTHRACITE,6841,24.4%,$158
https://stockx.com/nike-air-max-1-clot-kiss-of-death-2021,Nike Air Max 1 CLOT Kiss of Death (2021),61,AM1-CKOD21,/images/sneakers/nike/airmax/AM1-CKOD21.jpg,03/27/2021,$150,DD1870-100,NET/DEEP RED-ORANGE BLAZE,12082,3.3%,$230
