url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-dunk-low-retro-white-black-2021,Nike Dunk Low Retro White Black (2021),1163,NK-NIDLRWBWBK,/images/sneakers/nike/basketball/NK-NIDLRWBWBK.jpg,03/10/2021,$110,DD1391-100,WHITE/BLACK,54139,178.2%,$276
https://stockx.com/nike-dunk-low-undefeated-dunk-vs-af1,Nike Dunk Low Undefeated 5 On It Dunk vs. AF1,970,NK-NIDLUDVRP,/images/sneakers/nike/basketball/NK-NIDLUDVRP.jpg,08/06/2021,$120,DH6508-400,SIGNAL BLUE/WHITE-NIGHT PURPLE,3813,91.7%,$217
https://stockx.com/nike-dunk-low-se-multi-camo,Nike Dunk Low SE Sail Multi-Camo,710,NK-NIDLSMSV,/images/sneakers/nike/basketball/NK-NIDLSMSV.jpg,08/11/2021,$110,DH0957-100,SAIL/VINTAGE GREEN-TOTAL ORANGE-WHITE,7719,96.4%,$187
https://stockx.com/nike-dunk-low-crazy-camo,Nike Dunk Low Crazy Camo,457,NK-NIDLCCBM,/images/sneakers/nike/basketball/NK-NIDLCCBM.jpg,N/A,N/A,DH0957-001,BLACK/MULTI-OLIVE,3736,N/A,$163
https://stockx.com/nike-dunk-low-university-red-2021,Nike Dunk Low University Red (2021),456,NK-NIDLURUW,/images/sneakers/nike/basketball/NK-NIDLURUW.jpg,N/A,$100,DD1391-600,UNIVERSITY RED/WHITE-TOTAL ORANGE,6454,58.0%,$172
https://stockx.com/nike-dunk-low-white-black-2021-w,Nike Dunk Low White Black (2021) (W),383,NK-NIDLWBWBKW,/images/sneakers/nike/basketball/NK-NIDLWBWBKW.jpg,03/10/2021,$100,DD1503-101,WHITE/BLACK,25916,160.0%,$247
https://stockx.com/nike-dunk-high-1985-acid-wash-cream-black,Nike Dunk High 1985 Black Acid Wash,326,NK-NIDH1AWCB,/images/sneakers/nike/basketball/NK-NIDH1AWCB.jpg,08/28/2021,$130,DD9404-700,LEMON DROP/BLACK-SATURN GOLD,595,20.0%,$182
https://stockx.com/nike-dunk-low-se-easter-w,Nike Dunk Low SE Easter Candy (W),311,NK-NIDLSEWG,/images/sneakers/nike/basketball/NK-NIDLSEWG.jpg,06/25/2021,$110,DD1872-100,WHITE/GREEN GLOW-SUNSET PULSE,15411,101.8%,$170
https://stockx.com/nike-dunk-high-panda-2021-w,Nike Dunk High Panda (2021) (W),285,NK-NIDHPNDBW,/images/sneakers/nike/basketball/NK-NIDHPNDBW.jpg,07/27/2021,$110,DD1869-103,BLACK/WHITE-UNIVERSITY RED,7264,48.9%,$169
https://stockx.com/nike-dunk-high-1985-acid-wash-red,Nike Dunk High 1985 Red Acid Wash,277,NK-NIDH1AWRB,/images/sneakers/nike/basketball/NK-NIDH1AWRB.jpg,08/19/2021,$130,DD9404-600,RED/BROWN-BUTTER,936,30.8%,$183
https://stockx.com/nike-dunk-low-purple-pulse-w,Nike Dunk Low Purple Pulse (W),257,NK-NIDLPPPPW,/images/sneakers/nike/basketball/NK-NIDLPPPPW.jpg,08/18/2021,$110,DM9467-500,PURPLE PULSE/PURPLE PULSE-WHITE,3722,207.3%,$230
https://stockx.com/nike-blazer-mid-77-vintage-white-black,Nike Blazer Mid 77 Vintage White Black,254,BLZM77V-WB,/images/sneakers/nike/basketball/BLZM77V-WB.jpg,03/25/2019,$100,BQ6806-100,BLACK/SAIL-WHITE,19887,19.3%,$101
https://stockx.com/nike-dunk-low-unc-2021,Nike Dunk Low UNC (2021),207,NK-NIDLUWU2,/images/sneakers/nike/basketball/NK-NIDLUWU2.jpg,06/24/2021,$100,DD1391-102,WHITE/UNIVERSITY BLUE-WHITE,16427,215.0%,$296
https://stockx.com/nike-dunk-low-off-white-lot-23,Nike Dunk Low Off-White Lot 23,205,NK-NIDLOL23WN,/images/sneakers/nike/basketball/NK-NIDLOL23WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-VOLT-RED,333,126.1%,$395
https://stockx.com/nike-blazer-mid-77-white-black-w,Nike Blazer Mid 77 White Black (W),197,NK-NIBM7WBWS,/images/sneakers/nike/basketball/NK-NIBM7WBWS.jpg,04/01/2020,$100,CZ1055-100,WHITE/SAIL-BLACK,6517,-2.0%,$107
https://stockx.com/nike-blazer-low-sacai-iron-grey,Nike Blazer Low sacai Iron Grey,177,NK-NIBLSIGIW,/images/sneakers/nike/basketball/NK-NIBLSIGIW.jpg,07/31/2021,$120,DD1877-002,IRON GREY/WHITE-WHITE,3667,10.8%,$147
https://stockx.com/nike-dunk-low-yellow-strike-w,Nike Dunk Low Yellow Strike (W),175,NK-NIDLSYYY,/images/sneakers/nike/basketball/NK-NIDLSYYY.jpg,08/18/2021,$110,DM9467-700,YELLOW STRIKE/YELLOW STRIKE-WHITE,1568,36.4%,$167
https://stockx.com/nike-dunk-high-black-white-total-orange-2021,Nike Dunk High Black White (2021),173,NK-NIDLFDXWB,/images/sneakers/nike/basketball/NK-NIDLFDXWB.jpg,N/A,$110,DD1399-105,WHITE/BLACK-TOTAL ORANGE,1998,72.7%,$185
https://stockx.com/nike-dunk-high-first-use-sail,Nike Dunk High First Use Sail,165,NK-NIDHFUSSG,/images/sneakers/nike/basketball/NK-NIDHFUSSG.jpg,N/A,$120,DD0960-001 / DH0960-001,LIGHT BONE/GREEN NOISE,1508,17.0%,$151
https://stockx.com/nike-dunk-high-game-royal,Nike Dunk High Game Royal,164,NK-NIDHGRW,/images/sneakers/nike/basketball/NK-NIDHGRW.jpg,06/29/2021,$110,DD1399-102,WHITE/GAME ROYAL-TOTAL ORANGE,10025,89.1%,$170
https://stockx.com/nike-dunk-low-off-white-lot-15,Nike Dunk Low Off-White Lot 15,159,NK-NIDLOL15WN,/images/sneakers/nike/basketball/NK-NIDLOL15WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-GREEN-PURPLE,271,120.0%,$422
https://stockx.com/nike-dunk-low-off-white-lot-11,Nike Dunk Low Off-White Lot 11,157,NK-NIDLOL11WN,/images/sneakers/nike/basketball/NK-NIDLOL11WN.jpg,08/09/2021,$180,DJ0950-108,WHITE/NEUTRAL GREY-YELLOW-PEACH,361,133.3%,$435
https://stockx.com/nike-dunk-low-lime-ice-w,Nike Dunk Low Lime Ice (W),154,NK-NIDLLILG,/images/sneakers/nike/basketball/NK-NIDLLILG.jpg,07/31/2021,$100,DD1503-600,LIGHT SOFT PINK/GHOST-LIME ICE-WHITE,2673,13.0%,$127
https://stockx.com/nike-dunk-low-off-white-lot-25,Nike Dunk Low Off-White Lot 25,153,NK-NIDLOL25WN,/images/sneakers/nike/basketball/NK-NIDLOL25WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-TEAM RED-LIGHT GREY,157,111.9%,$406
https://stockx.com/nike-dunk-low-prm-cider,Nike Dunk Low Cider,152,NK-NIDLPCOC,/images/sneakers/nike/basketball/NK-NIDLPCOC.jpg,N/A,$110,DH0601-001,OFF NOIR/CIDER-DARK CHOCOLATE-WILD BERRY,987,59.1%,$193
https://stockx.com/nike-dunk-low-retro-black-hyper-cobalt-2021,Nike Dunk Low Retro Hyper Cobalt (2021),151,NK-NIDLRBHBH,/images/sneakers/nike/basketball/NK-NIDLRBHBH.jpg,02/18/2021,$100,DD1391-001,BLACK/WHITE/HYPER COBALT,20032,139.0%,$173
https://stockx.com/nike-dunk-low-off-white-lot-48,Nike Dunk Low Off-White Lot 48,147,NK-NIDLOL48WN,/images/sneakers/nike/basketball/NK-NIDLOL48WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-CHLORINE BLUE-PLUM,147,125.0%,$390
https://stockx.com/nike-dunk-low-off-white-lot-31,Nike Dunk Low Off-White Lot 31,141,NK-NIDLOL31WN,/images/sneakers/nike/basketball/NK-NIDLOL31WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-BLUE-LASER ORANGE,522,158.3%,$452
https://stockx.com/nike-dunk-low-off-white-lot-47,Nike Dunk Low Off-White Lot 47,140,NK-NIDLOL47WN,/images/sneakers/nike/basketball/NK-NIDLOL47WN.jpg,08/09/2021,$180,N/A,WHITE/NEUTRAL GREY-GREEN SPARK-COURT PURPLE,153,126.1%,$392
