url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-kd-trey-5-viii-white-royal-tint,Nike KD Trey 5 VIII White Royal Tint,11,NK-NIKT5VWWR,/images/sneakers/nike/kd/NK-NIKT5VWWR.jpg,04/08/2020,$90,CK2090-100/CK2089-100,WHITE/ROYAL TINT,1088,17.8%,$75
https://stockx.com/nike-kd-14-floral,Nike KD 14 Floral,8,NK-NIK1FBN,/images/sneakers/nike/kd/NK-NIK1FBN.jpg,04/17/2021,$150,CW3935-001/CZ0170-001,BLACK/NATURAL-WHITE-LIGHT BLUE,248,-24.0%,$146
https://stockx.com/nike-kd-14-psychedelic,Nike KD 14 Psychedelic,7,NK-NIK1PDP,/images/sneakers/nike/kd/NK-NIK1PDP.jpg,N/A,$150,CW3935-400 / CZ0170-400,DEEP ROYAL BLUE/PALE CORAL-COCONUT MILK,114,-7.1%,$158
https://stockx.com/nike-kd-13-oreo,Nike KD 13 Oreo,6,NK-NIK1OBW,/images/sneakers/nike/kd/NK-NIK1OBW.jpg,08/20/2020,$150,CI9949-004/CI9948-004,BLACK/WHITE-WOLF GREY,341,-31.3%,$106
https://stockx.com/nike-kd-13-aunt-pearl,Nike KD 13 Aunt Pearl,6,NK-NIK1APPL,/images/sneakers/nike/kd/NK-NIK1APPL.jpg,10/24/2020,$160,DC0011-600/DC0012-600,PINK FOAM/LIGHT ARCTIC PINK-BLUE VOID,1999,20.4%,$185
https://stockx.com/nike-kd-12-black-cool-grey,Nike KD 12 Black Cool Grey,5,KD12-BKCG,/images/sneakers/nike/kd/KD12-BKCG.jpg,10/01/2019,$150,AR4230-003/AR4229-003,BLACK/COOL GREY-ANTHRACITE,403,40.0%,$137
https://stockx.com/nike-kd-14-ky-d,Nike KD 14 Ky-D Dream,5,NK-NIK1KBM,/images/sneakers/nike/kd/NK-NIK1KBM.jpg,N/A,$150,CZ0170-002/CW3935-002,BLACK/MULTICOLOR,226,N/A,$165
https://stockx.com/nike-kd-13-easy-money-sniper,Nike KD 13 Easy Money Sniper,5,NK-NIK1EMSWM,/images/sneakers/nike/kd/NK-NIK1EMSWM.jpg,09/24/2020,$160,DA1341-100/DA1340-100,WHITE/MULTI-COLOR-SAIL,1116,3.1%,$145
https://stockx.com/nike-kd-13-bleached-plaid,Nike KD 13 Bleached Plaid,5,NK-NIK1BPBI,/images/sneakers/nike/kd/NK-NIK1BPBI.jpg,N/A,$150,DA0894-005/DA0895-005,BLACK/ILLUSION GREEN-VAPOR GREEN-WHITE ONYX,115,7.3%,$138
https://stockx.com/nike-kd-13-butterflies-and-chains,Nike KD 13 Hype,4,NK-NIK1BACRG,/images/sneakers/nike/kd/NK-NIK1BACRG.jpg,04/10/2020,$160,CI9948-600/CI9949-600,WASHED CORAL/BARELY VOLT-SUMMIT WHITE-LASER CRIMSON,442,-22.9%,$106
