url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/nike-kobe-5-protro-undefeated-hall-of-fame,Nike Kobe 5 Protro Undefeated Hall of Fame,47,NK-NIK5PUHMF,/images/sneakers/nike/kobe/NK-NIK5PUHMF.jpg,05/15/2021,$190,DA6809-700,METALLIC GOLD/FIELD PURPLE-MULTI-COLOR,5032,104.7%,$372
https://stockx.com/nike-kobe-6-protro-grinch,Nike Kobe 6 Protro Grinch (2020),35,NK-NIK6PGGV20,/images/sneakers/nike/kobe/NK-NIK6PGGV20.jpg,12/24/2020,$190,CW2190-300,GREEN APPLE/VOLT-CRIMSON-BLACK,15642,231.1%,$432
https://stockx.com/kobe-6-protro-playoff-pack-white-del-sol,Kobe 6 Protro Playoff Pack White Del Sol,30,NK-KO6PPPWWN,/images/sneakers/nike/kobe/NK-KO6PPPWWN.jpg,06/03/2021,$180,CW2190-100,WHITE/NEUTRAL GREY-DEL SOL-BLACK,2272,116.7%,$318
https://stockx.com/nike-kobe-6-protro-challenge-red,Nike Kobe 6 Protro Challenge Red,17,NK-NIK6PCRCB,/images/sneakers/nike/kobe/NK-NIK6PCRCB.jpg,N/A,$190,DH9888-600,CHALLENGE RED/BLACK-WHITE,3914,89.5%,$292
https://stockx.com/nike-kobe-5-protro-bruce-lee,Nike Kobe 5 Protro Bruce Lee,15,NK-NIK5PBLDM,/images/sneakers/nike/kobe/NK-NIK5PBLDM.jpg,11/24/2020,$180,CD4991-700,DEL SOL/METALLIC SILVER-COMET RED-BLACK,7566,115.6%,$310
https://stockx.com/nike-kobe-5-protro-bruce-lee-alternate,Nike Kobe 5 Protro Bruce Lee Alternate,12,NK-NIK5PBLWB,/images/sneakers/nike/kobe/NK-NIK5PBLWB.jpg,11/24/2020,$180,CD4991-101,WHITE/BLACK-UNIVERSITY RED-VARSITY MAIZE,3372,185.5%,$317
https://stockx.com/nike-mamba-focus-metallic-gold,Nike Mamba Focus Metallic Gold,11,MBFCS-MTLGLD,/images/sneakers/nike/kobe/MBFCS-MTLGLD.jpg,04/28/2019,$100,AJ5899-004,PHANTOM/METALLIC GOLD,1179,110.0%,$126
https://stockx.com/nike-kobe-5-protro-eybl-forest-green-2020,Nike Kobe 5 Protro EYBL Girls (2020),8,NK-NIK5PEFFM,/images/sneakers/nike/kobe/NK-NIK5PEFFM.jpg,08/29/2020,$180,CD4991-300,FOREST GREEN/METALLIC RED BRONZE-SPEED YELLOW-FOREST GREEN,2426,136.1%,$281
https://stockx.com/nike-mamba-fury-joker,Nike Mamba Fury Joker,7,NK-NIMFJBP,/images/sneakers/nike/kobe/NK-NIMFJBP.jpg,01/01/2020,$100,CK2087-003,BLACK/PSYCHIC PURPLE-LEMON VENOM,446,-19.0%,$108
https://stockx.com/nike-kobe-4-protro-wizenard,Nike Kobe 4 Protro Wizenard,7,KB4P-WZNRD,/images/sneakers/nike/kobe/KB4P-WZNRD.jpg,12/01/2019,$175,CV3469-001,MULTI-COLOR/BLACK-VOLT,592,20.0%,$273
