url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/air-jordan-4-retro-university-blue,Jordan 4 Retro University Blue,275,JB-JO4RUBU,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RUBU.jpg,04/28/2021,$200,CT8527-400,UNIVERSITY BLUE/TECH GREY-WHITE-BLACK,28273,84.5%,$368
https://stockx.com/air-jordan-4-retro-fire-red-2020,Jordan 4 Retro Fire Red (2020),162,AJ4-FR20,/images/sneakers/retro-jordans/air-jordan-4/AJ4-FR20.jpg,11/28/2020,$200,DC7770-160,WHITE/BLACK-TECH GREY-FIRE RED,47827,69.5%,$278
https://stockx.com/air-jordan-4-retro-off-white-sail-w,Jordan 4 Retro Off-White Sail (W),40,JB-JO4ROSSM,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4ROSSM.jpg,07/25/2020,$200,CV9388-100,SAIL/MUSLIN-WHITE-BLACK,9251,600.0%,"$1,282"
https://stockx.com/air-jordan-4-retro-bred-2019,Jordan 4 Retro Bred (2019),36,AJ4-BRD19,/images/sneakers/retro-jordans/air-jordan-4/AJ4-BRD19.jpg,05/04/2019,$200,308497-060,BLACK/FIRE RED-CEMENT GREY-SUMMIT WHITE,6667,164.5%,$454
https://stockx.com/air-jordan-4-retro-starfish-w,Jordan 4 Retro Starfish (W),33,JB-JO4RSSB,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RSSB.jpg,01/22/2021,$200,CW7183-100,SAIL/BLACK-STARFISH-LIGHT SMOKE GREY,5988,N/A,$225
https://stockx.com/air-jordan-4-retro-black-cat-2020,Jordan 4 Retro Black Cat (2020),32,AJ4-BC20,/images/sneakers/retro-jordans/air-jordan-4/AJ4-BC20.jpg,01/22/2020,$190,CU1110-010,BLACK/BLACK-LIGHT GRAPHITE,5401,223.7%,$495
https://stockx.com/air-jordan-4-retro-union-off-noir,Jordan 4 Retro Union Off Noir,26,JB-JO4RUONOB,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RUONOB.jpg,08/29/2020,$250,DC9533-001,OFF-NOIR/BRIGADE BLUE-DARK SMOKE GREY-LIGHT FUSION RED,10588,230.9%,$721
https://stockx.com/air-jordan-4-retro-psg-paris-saint-germain,Jordan 4 Retro PSG Paris Saint-Germain,24,JB-JO4RPPSWN,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RPPSWN.jpg,10/10/2020,$225,CZ5624-100,WHITE/BLACK-METALLIC GOLD-BORDEAUX,12962,77.3%,$302
https://stockx.com/air-jordan-4-retro-union-guava-ice,Jordan 4 Retro Union Guava Ice,24,JB-JO4RUGIGL,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RUGIGL.jpg,08/29/2020,$250,DC9533-800,GUAVA ICE/LIGHT BONE-BRIGADE BLUE-LIGHT FUSION RED,6288,216.0%,$916
https://stockx.com/air-jordan-4-retro-golf-seersucker,Jordan 4 Retro Golf NRG Seersucker,21,JB-JO4RGSSP,/images/sneakers/retro-jordans/air-jordan-4/JB-JO4RGSSP.jpg,05/17/2021,$220,CZ2439-101,SAIL/APRICOT AGATE,1020,46.4%,$327
