url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/air-jordan-12-retro-utility,Jordan 12 Retro Utility,3654,JB-JO1RUBB,/images/sneakers/retrojordans/airjordan12/JB-JO1RUBB.jpg,08/21/2021,$190,DC1062-006,BLACK/BLACK-BRIGHT CRIMSON-WHITE,4172,31.6%,$245
https://stockx.com/air-jordan-12-retro-twist,Jordan 12 Retro Twist,383,JB-JO1RTWU,/images/sneakers/retrojordans/airjordan12/JB-JO1RTWU.jpg,07/24/2021,$190,CT8013-106,WHITE/BLACK-UNIVERSITY RED,11864,18.4%,$233
https://stockx.com/air-jordan-12-retro-reverse-flu-game,Jordan 12 Retro Reverse Flu Game,52,AJ12-RFG,/images/sneakers/retrojordans/airjordan12/AJ12-RFG.jpg,12/26/2020,$190,CT8013-602,VARSITY RED/BLACK,15194,7.9%,$224
https://stockx.com/air-jordan-12-retro-low-easter-2021,Jordan 12 Retro Low Easter (2021),46,JB-JO1RLEWW,/images/sneakers/retrojordans/airjordan12/JB-JO1RLEWW.jpg,04/03/2021,$200,DB0733-190,WHITE/WHITE-MULTI-COLOR,7393,9.5%,$229
https://stockx.com/air-jordan-12-retro-black-university-gold,Jordan 12 Retro Black University Gold,45,AJ12-BUG,/images/sneakers/retrojordans/airjordan12/AJ12-BUG.jpg,07/24/2020,$190,130690-070,BLACK/UNIVERSITY GOLD,18933,26.8%,$247
https://stockx.com/air-jordan-12-retro-stone-blue,Jordan 12 Retro Indigo,36,AJ12-STBL,/images/sneakers/retrojordans/airjordan12/AJ12-STBL.jpg,08/22/2020,$190,130690-404,STONE BLUE/LEGEND BLUE-OBSIDIAN,15889,22.6%,$217
https://stockx.com/air-jordan-12-retro-black-dark-concord,Jordan 12 Retro Black Dark Concord,26,AJ12-BDC,/images/sneakers/retrojordans/airjordan12/AJ12-BDC.jpg,10/23/2020,$190,CT8013-005,BLACK/BLACK-DARK CONCORD,15247,57.9%,$239
https://stockx.com/air-jordan-12-retro-fiba-2019,Jordan 12 Retro Fiba (2019),13,AJ12-FIBA19,/images/sneakers/retrojordans/airjordan12/AJ12-FIBA19.jpg,08/24/2019,$190,130690-107,WHITE/UNIVERSITY RED-METALLIC GOLD,1340,16.8%,$298
https://stockx.com/jordan-12-retro-flu-game-2016,Jordan 12 Retro Flu Game (2016),13,AJ12-FLU16,/images/sneakers/retrojordans/airjordan12/AJ12-FLU16.jpg,05/28/2016,$190,130690-002,BLACK/VARSITY RED,1289,141.1%,$425
https://stockx.com/jordan-12-retro-gym-red,Jordan 12 Retro Gym Red,7,AJ12-GYMRED,/images/sneakers/retrojordans/airjordan12/AJ12-GYMRED.jpg,07/02/2016,$190,130690-600,GYM RED/BLACK-WHITE,536,82.1%,$328
