name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",11:22 PM EST,6.5,$438
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",11:15 PM EST,9.5,$400
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",11:12 PM EST,6.5,$435
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",10:46 PM EST,13,$525
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",10:40 PM EST,11,$419
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",10:33 PM EST,4,$374
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",9:14 PM EST,12,$448
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",9:03 PM EST,12,$448
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:46 PM EST,9.5,$368
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:44 PM EST,9.5,$398
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:38 PM EST,11.5,$455
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:18 PM EST,6,$420
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:10 PM EST,10.5,$395
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:05 PM EST,16,$423
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 27, 2021",8:04 PM EST,11,$389
