name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",11:22 PM EST,9,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",11:10 PM EST,10,$297
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:52 PM EST,9.5,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:44 PM EST,10.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:44 PM EST,5.5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:42 PM EST,5.5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:34 PM EST,8.5,$270
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:28 PM EST,8,$281
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:26 PM EST,8.5,$269
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:19 PM EST,9,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:14 PM EST,7.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:09 PM EST,10,$297
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:05 PM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:01 PM EST,6.5,$289
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:55 PM EST,11,$276
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:53 PM EST,13,$320
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:45 PM EST,6,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:31 PM EST,10,$297
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:26 PM EST,9.5,$286
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:23 PM EST,10.5,$278
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:14 PM EST,12.5,$314
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:03 PM EST,4,$248
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:59 PM EST,10.5,$282
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:46 PM EST,9,$262
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,11,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,8,$270
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,12,$305
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,6.5,$290
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,10.5,$271
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:44 PM EST,10.5,$272
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:33 PM EST,10,$298
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:18 PM EST,5,$243
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:16 PM EST,12,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:14 PM EST,10.5,$256
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:07 PM EST,11,$284
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:06 PM EST,6,$344
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:58 PM EST,9,$265
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:58 PM EST,10,$366
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:00 PM EST,9.5,$286
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:50 PM EST,10,$297
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:47 PM EST,14,$350
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:39 PM EST,11,$263
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:36 PM EST,9,$255
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:32 PM EST,10.5,$277
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:22 PM EST,12,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:22 PM EST,7.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:20 PM EST,10.5,$254
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:14 PM EST,4,$227
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:10 PM EST,11,$284
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:09 PM EST,10.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:09 PM EST,7,$307
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:59 PM EST,4.5,$301
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:56 PM EST,11,$284
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:27 PM EST,10.5,$254
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:22 PM EST,12,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:12 PM EST,9.5,$379
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:12 PM EST,10,$468
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:12 PM EST,10.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:06 PM EST,11,$292
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:04 PM EST,12,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:59 PM EST,10,$468
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:58 PM EST,12,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:44 PM EST,5.5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:31 PM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:30 PM EST,11,$258
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:22 PM EST,11,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:05 PM EST,5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:05 PM EST,10.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:51 PM EST,6.5,$277
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:40 PM EST,4,$227
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:35 PM EST,8.5,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:31 PM EST,7.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:16 PM EST,8.5,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:02 PM EST,11,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:54 PM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:50 PM EST,4,$227
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:43 PM EST,10.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:37 PM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:26 PM EST,13,$353
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:24 PM EST,13,$345
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:18 PM EST,6.5,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:16 PM EST,9,$291
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",12:45 PM EST,13,$327
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",12:45 PM EST,10,$276
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",12:39 PM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",12:27 PM EST,12,$313
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",12:20 PM EST,8,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",11:43 AM EST,11,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",11:32 AM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",11:11 AM EST,11.5,$328
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:51 AM EST,8,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:40 AM EST,10.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:18 AM EST,7.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:16 AM EST,6,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",10:03 AM EST,6,$278
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:53 AM EST,5,$283
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",9:34 AM EST,9,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:49 AM EST,7.5,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:49 AM EST,11.5,$320
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:42 AM EST,9.5,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:41 AM EST,9.5,$289
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:41 AM EST,9,$270
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",8:41 AM EST,9,$271
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:59 AM EST,7.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:45 AM EST,10.5,$306
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:32 AM EST,5.5,$339
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:32 AM EST,5.5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",7:02 AM EST,10,$276
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:39 AM EST,7,$398
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:17 AM EST,7.5,$275
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:12 AM EST,6.5,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",6:07 AM EST,6,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:34 AM EST,9.5,$306
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:19 AM EST,6.5,$296
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:14 AM EST,9,$300
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",5:05 AM EST,8,$270
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:14 AM EST,6.5,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",4:01 AM EST,12.5,$294
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:49 AM EST,10,$296
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",3:26 AM EST,10,$276
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:56 AM EST,5.5,$264
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:53 AM EST,5.5,$259
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:51 AM EST,11,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:42 AM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:26 AM EST,6.5,$298
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:20 AM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:14 AM EST,12,$317
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:06 AM EST,6.5,$290
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",2:01 AM EST,12,$317
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:38 AM EST,10.5,$292
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:18 AM EST,8,$302
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:11 AM EST,7,$326
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 27, 2021",1:07 AM EST,9.5,$316
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",12:34 AM EST,4.5,$225
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",12:30 AM EST,6,$279
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",12:14 AM EST,11,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:28 PM EST,7,$310
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:21 PM EST,8,$285
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:20 PM EST,10.5,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:14 PM EST,8.5,$301
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:14 PM EST,8,$277
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:13 PM EST,10.5,$271
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",11:08 PM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:59 PM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:57 PM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:57 PM EST,9,$301
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:51 PM EST,10,$274
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:50 PM EST,10.5,$292
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:43 PM EST,10.5,$292
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Monday, July 26, 2021",10:42 PM EST,8.5,$280
