name,ticker,date,time,size,price
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",11:03 PM EST,4,$157
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:57 PM EST,11,$259
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:56 PM EST,8,$214
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:54 PM EST,8,$214
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:51 PM EST,7,$250
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:45 PM EST,9,$209
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:26 PM EST,10,$240
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:25 PM EST,4,$157
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:18 PM EST,6,$265
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",10:04 PM EST,6,$249
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:58 PM EST,8,$214
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:56 PM EST,5,$187
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:48 PM EST,6,$246
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:44 PM EST,13,$299
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:25 PM EST,5,$173
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:23 PM EST,8,$206
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:21 PM EST,5,$187
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:20 PM EST,5,$187
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:17 PM EST,5,$179
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",9:09 PM EST,10,$213
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:55 PM EST,5,$173
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:54 PM EST,4,$155
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:54 PM EST,5,$179
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:54 PM EST,8,$214
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:53 PM EST,5,$177
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:46 PM EST,5,$179
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:45 PM EST,5,$179
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:43 PM EST,9,$211
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:38 PM EST,8,$210
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:34 PM EST,8,$200
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 27, 2021",8:32 PM EST,8,$209
